query,name,site,subtypes,category,type,latitude,longitude,range,typical_time_spent,google_id,place_id,about
ChIJ6ZQgw_SjpBIRtbRMETO1Qv8,Indian Herbs,http://indianherbs.es/,Indian restaurant,restaurants,Indian restaurant,41.400723,2.164615,$$,People typically spend 1-1.5 hours here,0x12a4a3f4c32094e9:0xff42b533114cb4b5,ChIJ6ZQgw_SjpBIRtbRMETO1Qv8,"{""Service options"": {""Outdoor seating"": true, ""No-contact delivery"": true, ""Delivery"": true, ""Takeout"": true, ""Dine-in"": true}, ""Accessibility"": {""Wheelchair accessible seating"": true, ""Wheelchair accessible parking lot"": false}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Coffee"": true, ""Halal food"": true, ""Hard liquor"": true, ""Healthy options"": true, ""Organic dishes"": true, ""Salad bar"": true, ""Small plates"": true, ""Vegan options"": true, ""Vegetarian options"": true, ""Wine"": true}, ""Dining options"": {""Lunch"": true, ""Dinner"": true, ""Catering"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Bar onsite"": true, ""Gender-neutral restroom"": true, ""Restroom"": true, ""Wi-Fi"": true}, ""Atmosphere"": {""Casual"": true, ""Cozy"": true}, ""Crowd"": {""Family-friendly"": true, ""Groups"": true, ""LGBTQ+ friendly"": true, ""Transgender safespace"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true}, ""Other"": {""LGBTQ+ friendly"": true}}"
ChIJq2Xe4ruipBIRKnUZMSdXSSk,Lluritu,http://www.lluritu.com/,"Seafood restaurant, Mediterranean restaurant, Restaurant",restaurants,Seafood restaurant,41.4067337,2.1596221,₱₱,People typically spend 1-2 hours here,0x12a4a2bbe2de65ab:0x294957273119752a,ChIJq2Xe4ruipBIRKnUZMSdXSSk,"{""Service options"": {""Takeout"": true, ""Dine-in"": true, ""Delivery"": false}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": false}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Coffee"": true, ""Hard liquor"": true, ""Healthy options"": true, ""Small plates"": true, ""Wine"": true}, ""Dining options"": {""Lunch"": true, ""Dinner"": true, ""Dessert"": true}, ""Amenities"": {""Bar onsite"": true, ""Restroom"": true, ""Wi-Fi"": true}, ""Atmosphere"": {""Casual"": true, ""Cozy"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true}}"
ChIJGbGJr6KipBIRBEFM2EFui_E,Piras braseria,http://www.pirasbraseria.es/,"Grill, Barbecue restaurant, Catalonian restaurant, Family restaurant, Health food restaurant, Italian restaurant, Mediterranean restaurant, Restaurant, Brasserie",restaurants,Grill,41.4016751,2.1543210999999998,$$,People typically spend 1.5-2.5 hours here,0x12a4a2a2af89b119:0xf18b6e41d84c4104,ChIJGbGJr6KipBIRBEFM2EFui_E,"{""Service options"": {""Curbside pickup"": true, ""No-contact delivery"": true, ""Delivery"": true, ""Takeout"": true, ""Dine-in"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true, ""Wheelchair accessible seating"": true}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Coffee"": true, ""Hard liquor"": true, ""Healthy options"": true, ""Organic dishes"": true, ""Salad bar"": true, ""Small plates"": true, ""Wine"": true}, ""Dining options"": {""Breakfast"": true, ""Brunch"": true, ""Lunch"": true, ""Dinner"": true, ""Catering"": true, ""Counter service"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Bar onsite"": true, ""Restroom"": true, ""Wi-Fi"": true}, ""Atmosphere"": {""Casual"": true, ""Cozy"": true}, ""Crowd"": {""Family-friendly"": true, ""Groups"": true, ""LGBTQ+ friendly"": true, ""Transgender safespace"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true, ""High chairs"": true, ""Kids' menu"": true}, ""Other"": {""LGBTQ+ friendly"": true}}"
ChIJu0J4lr6ipBIRevA8AWU8Mb4,Veg World India,http://www.vegworld.es/,"Vegetarian restaurant, Indian restaurant, Restaurant",restaurants,Vegetarian restaurant,41.404609699999995,2.1607355,₱,People typically spend 1-2 hours here,0x12a4a2be967842bb:0xbe313c65013cf07a,ChIJu0J4lr6ipBIRevA8AWU8Mb4,"{""Service options"": {""Delivery"": true, ""Takeout"": true, ""Dine-in"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible restroom"": true, ""Wheelchair accessible seating"": true, ""Wheelchair accessible parking lot"": false}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Coffee"": true, ""Halal food"": true, ""Healthy options"": true, ""Salad bar"": true, ""Small plates"": true, ""Vegan options"": true, ""Vegetarian options"": true, ""Wine"": true}, ""Dining options"": {""Lunch"": true, ""Dinner"": true, ""Dessert"": true}, ""Amenities"": {""Restroom"": true, ""Wi-Fi"": true}, ""Atmosphere"": {""Casual"": true, ""Cozy"": true}, ""Crowd"": {""Family-friendly"": true, ""Groups"": true, ""LGBTQ+ friendly"": true, ""Transgender safespace"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true}, ""Parking"": {""Parking"": true}, ""Other"": {""LGBTQ+ friendly"": true}}"
ChIJf1rY_7uipBIRra0zr1VwUwg,Mantura Tapes i Vins,http://www.mantura.cat/,"Restaurant, Asian restaurant, Chinese restaurant, Thai restaurant",restaurants,Restaurant,41.4060869,2.1597127,,,0x12a4a2bbffd85a7f:0x8537055af33adad,ChIJf1rY_7uipBIRra0zr1VwUwg,"{""Service options"": {""Curbside pickup"": true, ""No-contact delivery"": true, ""Takeout"": true, ""Dine-in"": true, ""Delivery"": false}, ""Accessibility"": {""Wheelchair accessible parking lot"": false}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Coffee"": true, ""Halal food"": true, ""Hard liquor"": true, ""Healthy options"": true, ""Small plates"": true, ""Wine"": true}, ""Dining options"": {""Lunch"": true, ""Dinner"": true, ""Dessert"": true}, ""Amenities"": {""Bar onsite"": true, ""Restroom"": true}, ""Atmosphere"": {""Casual"": true, ""Cozy"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}}"
ChIJo7GdjaKipBIR8Y-W_-O_Ykg,El Picoteo,https://restaurante-el-picoteo.eatbu.com/?lang=es,"Bar & grill, Breakfast restaurant",restaurants,Bar & grill,41.4023323,2.152935,₱,People typically spend 30 min to 1.5 hr here,0x12a4a2a28d9db1a3:0x4862bfe3ff968ff1,ChIJo7GdjaKipBIR8Y-W_-O_Ykg,"{""Service options"": {""Takeout"": true, ""Dine-in"": true, ""Delivery"": false}, ""Highlights"": {""Sports"": true}, ""Accessibility"": {""Wheelchair accessible parking lot"": false}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Coffee"": true, ""Food"": true, ""Food at bar"": true, ""Hard liquor"": true, ""Late-night food"": true, ""Organic dishes"": true, ""Salad bar"": true, ""Small plates"": true, ""Wine"": true}, ""Dining options"": {""Breakfast"": true, ""Brunch"": true, ""Lunch"": true, ""Dinner"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Bar onsite"": true, ""Restroom"": true}, ""Atmosphere"": {""Casual"": true, ""Cozy"": true}, ""Crowd"": {""Groups"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true}, ""Children"": {""Good for kids"": true, ""High chairs"": true, ""Kids' menu"": true}}"
ChIJqQmtTryipBIRe3u-XKQxkmw,La Besnéta,http://www.labesneta.com/,"Cake shop, Vegan restaurant",Pastelería,Cake shop,41.4038919,2.1582651,$$,People typically spend 15 min here,0x12a4a2bc4ead09a9:0x6c9231a45cbe7b7b,ChIJqQmtTryipBIRe3u-XKQxkmw,"{""Service options"": {""Delivery"": true, ""In-store pickup"": true, ""Takeout"": true, ""Dine-in"": true, ""Same-day delivery"": true}, ""Accessibility"": {""Wheelchair accessible seating"": true, ""Wheelchair accessible parking lot"": false, ""Wheelchair accessible restroom"": false}, ""Dining options"": {""Breakfast"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}}"
ChIJF0W9xr2ipBIRhVcuJm56V1U,Granja & Chocolateria La Nena,,"Chocolate cafe, Bar, Bar & grill, Breakfast restaurant, Coffee shop, Creperie, Dessert shop, Farm, Vegetarian restaurant",Xocolateria,Chocolate cafe,41.402648899999996,2.1587999,,,0x12a4a2bdc6bd4517:0x55577a6e262e5785,ChIJF0W9xr2ipBIRhVcuJm56V1U,"{""Service options"": {""Takeout"": true, ""Dine-in"": true, ""Delivery"": false}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": false}}"
ChIJa0Y5HZiipBIROWRrQ0RCjVA,Botafumeiro,http://www.botafumeiro.es/,"Seafood restaurant, Galician restaurant, Spanish restaurant",restaurants,Seafood restaurant,41.4004237,2.1546385999999997,₱₱₱₱,People typically spend 1.5-3 hours here,0x12a4a2981d39466b:0x508d4244436b6439,ChIJa0Y5HZiipBIROWRrQ0RCjVA,"{""Service options"": {""Curbside pickup"": true, ""No-contact delivery"": true, ""Delivery"": true, ""Takeout"": true, ""Dine-in"": true}, ""Highlights"": {""Great cocktails"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true, ""Wheelchair accessible restroom"": true, ""Wheelchair accessible seating"": true}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Cocktails"": true, ""Coffee"": true, ""Halal food"": true, ""Happy hour drinks"": true, ""Hard liquor"": true, ""Healthy options"": true, ""Late-night food"": true, ""Organic dishes"": true, ""Private dining room"": true, ""Salad bar"": true, ""Small plates"": true, ""Vegetarian options"": true, ""Wine"": true}, ""Dining options"": {""Brunch"": true, ""Lunch"": true, ""Dinner"": true, ""Catering"": true, ""Counter service"": true, ""Dessert"": true, ""Seating"": true}, ""Amenities"": {""Bar onsite"": true, ""Restroom"": true, ""Wi-Fi"": true}, ""Atmosphere"": {""Cozy"": true, ""Romantic"": true, ""Upscale"": true}, ""Crowd"": {""Family-friendly"": true, ""Groups"": true, ""LGBTQ+ friendly"": true, ""Transgender safespace"": true}, ""Planning"": {""Reservations required"": true, ""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Good for kids"": true, ""High chairs"": true}, ""Parking"": {""Free parking lot"": true, ""Parking"": true, ""Valet parking"": true}, ""Other"": {""LGBTQ+ friendly"": true}}"
ChIJDS6i0L2ipBIR-QaPDNKvIXE,Rostisseria el Pato Donald,https://www.facebook.com/Pato-Donald-205397191634/,Takeout Restaurant,restaurants,Takeout Restaurant,41.402935,2.1593839999999997,$,,0x12a4a2bdd0a22e0d:0x7121afd20c8f06f9,ChIJDS6i0L2ipBIR-QaPDNKvIXE,"{""Service options"": {""Takeout"": true, ""Delivery"": false, ""Dine-in"": false}, ""Accessibility"": {""Wheelchair accessible parking lot"": false, ""Wheelchair accessible seating"": false}, ""Offerings"": {""Healthy options"": true}, ""Amenities"": {""Restroom"": false}, ""Atmosphere"": {""Casual"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true}}"
ChIJceRM3aKipBIRDAMlHKDA9zM,Can Tresó,https://cantreso.com/,"Restaurant, Mediterranean restaurant",restaurants,Restaurant,41.402919399999995,2.1537167,$$,,0x12a4a2a2dd4ce471:0x33f7c0a01c25030c,ChIJceRM3aKipBIRDAMlHKDA9zM,"{""Service options"": {""Takeout"": true, ""Dine-in"": true, ""Delivery"": false}, ""Accessibility"": {""Wheelchair accessible seating"": true, ""Wheelchair accessible parking lot"": false}, ""Offerings"": {""Alcohol"": true, ""Beer"": true, ""Coffee"": true, ""Hard liquor"": true, ""Healthy options"": true, ""Small plates"": true, ""Wine"": true}, ""Dining options"": {""Breakfast"": true, ""Brunch"": true, ""Lunch"": true, ""Dinner"": true, ""Dessert"": true}, ""Amenities"": {""Bar onsite"": true, ""Restroom"": true}, ""Atmosphere"": {""Casual"": true, ""Cozy"": true}, ""Crowd"": {""Groups"": true}, ""Planning"": {""Accepts reservations"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}}"
